Number doctors and hospitals,Number of proposals,Average rank of match for doctors,Average rank of match for hospitals
200,1049,4.245,39.41
200,1174,4.87,35.095
200,1304,5.52,31.345
200,1796,7.98,23.725
200,1525,6.625,25.265
200,1422,6.11,25.68
200,876,3.38,37.855
200,1288,5.44,28.78
200,1347,5.735,29.835
200,981,3.905,41.075
200,1079,4.395,35.27
200,1228,5.14,33.76
200,1047,4.235,39.255
200,996,3.98,39.475
200,1140,4.7,34.1
200,868,3.34,47.08
200,925,3.625,37.98
200,965,3.825,40.9
200,795,2.975,54.32
200,966,3.83,35.22
200,832,3.16,44.125
200,1043,4.215,35.355
200,1046,4.23,36.425
200,995,3.975,43.16
200,1283,5.415,28.47
200,1276,5.38,30.71
200,975,3.875,37.525
200,928,3.64,38.545
200,1325,5.625,29.96
200,863,3.315,41.77
200,971,3.855,38.455
200,1414,6.07,26.035
200,1022,4.11,34.28
200,1283,5.415,30.46
200,876,3.38,43.475
200,1394,5.97,24.935
200,1260,5.3,32.24
200,775,2.875,47.995
200,1064,4.32,34.96
200,1072,4.36,36.05
200,1062,4.31,36.485
200,921,3.605,44.52
200,1187,4.935,30.915
200,1094,4.47,34.295
200,1256,5.28,29.065
200,1179,4.895,34.95
200,929,3.645,42.98
200,936,3.68,36.09
200,1074,4.37,36.025
200,1158,4.79,35.945
200,2191,9.955,18.315
200,1337,5.685,30.41
200,966,3.83,39.07
200,1550,6.75,24.71
200,1417,6.085,27.54
200,1152,4.76,32.32
200,953,3.765,36.29
200,960,3.8,41.125
200,1198,4.99,35.485
200,1004,4.02,36.715
200,1099,4.495,37.99
200,920,3.6,40.82
200,1346,5.73,30.36
200,1245,5.225,28.865
200,884,3.42,42.54
200,1052,4.26,36.085
200,1057,4.285,36.285
200,1135,4.675,38.21
200,1260,5.3,28.29
200,1081,4.405,33.95
200,1340,5.7,30.065
200,970,3.85,36.675
200,974,3.87,36.205
200,1278,5.39,33.745
200,1034,4.17,34.39
200,1107,4.535,32.56
200,1007,4.035,39.25
200,1172,4.86,33.14
200,1197,4.985,30.395
300,1737,4.79,51.61
300,1443,3.81,67.64
300,1715,4.716666666666667,55.583333333333336
300,1976,5.586666666666667,42.85666666666667
300,2168,6.226666666666667,37.806666666666665
300,1812,5.04,49.583333333333336
300,2102,6.006666666666667,40.526666666666664
300,2652,7.84,30.863333333333333
300,1780,4.933333333333334,46.49666666666667
300,1824,5.08,51.67666666666667
300,2232,6.44,37.833333333333336
300,1274,3.2466666666666666,63.58
300,1701,4.67,50.17333333333333
300,1482,3.94,60.38666666666666
300,1955,5.516666666666667,45.373333333333335
300,1694,4.6466666666666665,51.57
300,1485,3.95,62.163333333333334
300,1257,3.19,66.91333333333333
300,1396,3.6533333333333333,62.00333333333333
300,1657,4.523333333333333,57.19
300,1564,4.213333333333333,58.42333333333333
300,1547,4.156666666666666,54.04333333333334
300,1552,4.173333333333333,53.67
300,2519,7.3966666666666665,34.166666666666664
300,1823,5.076666666666667,45.62
300,2076,5.92,41.553333333333335
300,1811,5.036666666666667,48.27333333333333
300,1914,5.38,44.97
300,1790,4.966666666666667,51.29666666666667
300,2273,6.576666666666667,37.276666666666664
300,3216,9.72,26.123333333333335
300,2846,8.486666666666666,30.586666666666666
300,1944,5.48,39.98
300,1756,4.8533333333333335,53.276666666666664
300,2255,6.516666666666667,38.28666666666667
300,1346,3.486666666666667,59.85666666666667
